,Adview
155,-241.08499
156,4538.291
157,-110.76169
158,5260.7266
159,-487.67062
160,2531.3174
161,-876.70746
162,-543.061
163,-1226.0337
164,3832.7551
165,-2493.4448
166,1851.1868
167,136.6193
168,3371.5127
169,-595.559
170,2142.3315
171,3016.8323
172,-882.1181
173,-847.17523
174,619.82135
175,-857.4467
176,-1526.2153
177,770.2142
178,3053.8696
179,-2871.0203
180,-2480.8877
181,-1474.0397
182,-562.4239
183,2171.934
184,-1861.7952
185,-426.14694
186,-3064.178
187,661.1934
188,8152.043
189,-3328.98
190,-1156.3125
191,-612.17596
192,-1103.8043
193,676.9229
194,3976.8901
195,-1229.1736
196,-2530.9104
197,1158.3152
198,-217.16354
199,923.9659
200,2777.6548
201,1064.277
202,-1414.7781
203,-1332.1133
204,-261.90134
205,-406.09702
206,45.844757
207,2027.9745
208,1217.2864
209,-1032.8267
210,3544.566
211,-1660.3779
212,2838.9219
213,-189.05185
214,-458.0864
215,915.95905
216,639.79425
217,3069.9067
218,-534.1347
219,3635.1038
220,2785.0059
221,5669.8403
222,-2570.6575
223,1303.187
224,-191.52646
225,-411.16452
226,-3407.0742
227,2935.0889
228,-21.233734
229,242.31155
230,7.9917307
231,1381.5388
232,739.12775
233,10015.661
234,10.624299
235,-2403.5862
236,-2592.7544
237,2525.712
238,325.4185
239,5257.583
240,-447.41403
241,1371.7131
242,489.44852
243,858.0898
244,1049.842
245,-46.63327
246,-627.78326
247,383.94742
248,1972.5459
249,1299.2505
250,-1225.3811
251,-93.819305
252,-977.3378
253,1951.9153
254,1833.0308
255,-523.26105
256,-1213.5605
257,2166.7397
258,4761.337
259,280.15262
260,-4624.2705
261,-1115.3267
262,3667.5923
263,-2537.9731
264,471.37808
265,-106.426544
266,664.1475
267,-2826.4458
268,108836.62
269,312.1675
270,41.716217
271,-941.1745
272,268.5386
273,1731.6123
274,923.6728
275,-4344.7354
276,-272.80173
277,-238.853
278,-1164.459
279,1502.1787
280,-899.5518
281,-365.35202
282,955.8307
283,-1202.2732
284,241.20853
285,-1022.4731
286,-2138.4915
287,-4183.926
288,-122.93356
289,245.09683
290,129.23856
291,625.3632
292,-558.39545
293,-9.553924
294,387.04056
295,337.18314
296,-1024.3911
297,946.7817
298,-2256.9927
299,584.4649
300,167.90433
301,78.734406
302,-162.44943
303,28.400421
304,-775.5844
305,3225.8916
306,3376.5947
307,-1222.8259
308,158.60477
309,-935.42084
310,-438.71884
311,1584.2699
312,434.3561
313,3626.389
314,2155.246
315,-1642.4153
316,-1040.71
317,-639.58514
318,-94.296844
319,-879.1733
320,59.554108
321,870.12885
322,-1025.343
323,-814.55194
324,2154.7246
325,3410.5112
326,-816.9461
327,-506.8525
328,-823.3482
329,3206.6912
330,-232.79391
331,-926.37787
332,1282.6006
333,-513.748
334,-277.02048
335,-87.92575
336,1586.1211
337,772.7789
338,3061.6987
339,-706.9643
340,-334.2358
341,-616.8769
342,1270.0884
343,-259.1235
344,-22.33847
345,441.4341
346,1696.0935
347,44.911163
348,2719.299
349,-541.9809
350,-2183.0623
351,506.35257
352,2034.9583
353,-2856.8457
354,-96.41354
355,180.29324
356,-65.464325
357,-197.83316
358,-22.893646
359,-2841.1543
360,-2597.0073
361,1656.2441
362,-2723.147
363,3392.2454
364,-2897.1948
365,3050.1597
366,-740.394
367,3457.4023
368,238.20792
369,28.888702
370,465.6016
371,2426.1191
372,1204.267
373,-1038.222
374,5581.632
375,-308.42526
376,3461.4316
377,-583.2475
378,843.2945
379,896.2891
380,6315.6396
381,1665.5386
382,-1207.3965
383,1638.272
384,-514.5798
385,-807.8232
386,4905.2227
387,-279.72556
388,-671.16754
389,-808.47504
390,-535.0402
391,310.54324
392,-963.9565
393,681.1152
394,3410.4954
395,911.52057
396,73.10599
397,-332.02975
398,509.0723
399,855.1674
400,865.8775
401,-64.83566
402,2875.2937
403,-514.08014
404,4298.1357
405,-661.2104
406,-41.391815
407,-1290.5903
408,317.82425
409,-947.695
410,-1323.9688
411,651.2863
412,3620.4138
413,2724.8936
414,629.45245
415,1830.0798
416,-687.3283
417,340.98013
418,-28.446259
419,60.910675
420,2620.0984
421,2624.0542
422,5.1438303
423,3291.6807
424,250.71048
425,1597.268
426,403.80325
427,-492.10764
428,2195.5354
429,-395.76645
430,-151.1008
431,-784.4511
432,585.57587
433,-1216.9536
434,1283.5059
435,-137.90768
436,-443.10617
437,2180.0474
438,1049.9012
439,-505.8513
440,1208.0698
441,3728.6812
442,-194.96579
443,1151.1138
444,834.42865
445,300.12418
446,356.63455
447,-562.28827
448,-303.98947
449,1800.2765
450,364.3737
451,52.069977
452,283.3488
453,799.98663
454,227.90335
455,2672.838
456,-3225.6362
457,-1093.0605
458,-1359.1538
459,2471.7395
460,3020.6729
461,-443.26755
462,-424.82608
463,1931.8455
464,-497.61447
465,-101.38864
466,-821.3525
467,25022.604
468,6515.2656
469,-655.1879
470,-125.63034
471,4433.297
472,11026.109
473,-1269.4937
474,-508.25638
475,1456.2615
476,1677.5295
477,-856.1281
478,1102.5398
479,676.0334
480,-176.34409
481,-99.709076
482,2188.667
483,565.3559
484,-627.899
485,-832.2191
486,1099.1729
487,515.05084
488,40.87503
489,-1200.8052
490,1077.3694
491,-1676.6035
492,-823.05206
493,3480.8398
494,-1276.8452
495,-747.6739
496,-92.88864
497,-1053.7957
498,-6534.4897
499,225.32529
500,-205.78659
501,2406.6558
502,-215.2485
503,482.84573
504,-441.38803
505,-1563.3037
506,-821.89716
507,7654.957
508,183261.94
509,-453.47385
510,-858.5888
511,3504.8193
512,-2308.504
513,-323.7534
514,1165.3115
515,-772.5019
516,255.38504
517,-646.8647
518,-565.2277
519,1223.8824
520,241.71793
521,1630.9448
522,351.88577
523,-380.79245
524,137066.39
525,-662.8576
526,1219.0405
527,-49.272186
528,-557.8144
529,-1722.8328
530,-30.74228
531,467.465
532,93.76663
533,-250.26425
534,2459.001
535,-250.11569
536,420.53616
537,1637.3735
538,-208.44223
539,-78.66647
540,-455.7241
541,-1594.2188
542,-308.18222
543,459.00906
544,-194.45224
545,-901.62933
546,-1546.1035
547,109.02017
548,3177.5352
549,225.74612
550,-80.40903
551,393.56436
552,4382.741
553,-300.57175
554,-105.552155
555,-1183.6746
556,-210.7114
557,567.13007
558,-528.8891
559,-347.15842
560,-388.38876
561,-538.1324
562,1226.9956
563,-3577.1697
564,-756.3099
565,-4459.573
566,1149.3428
567,2499.2776
568,858.45355
569,3842.063
570,-3218.461
571,3385.4087
572,-946.87396
573,4683.507
574,-2631.4497
575,-873.7475
576,-239.212
577,3794.664
578,-767.2421
579,-1739.4531
580,-660.1291
581,-768.1136
582,-2331.5444
583,829.9683
584,1400.2576
585,-297.077
586,171.71683
587,114.09476
588,-331.81906
589,373.18045
590,-166.92648
591,5373.92
592,359.6052
593,-1139.3962
594,1037.7614
595,1020.2088
596,547.1602
597,1535.5991
598,-947.7978
599,-175.88913
600,11086.97
601,-520.039
602,92.40823
603,1606.3118
604,-20.689423
605,6462.737
606,320.41196
607,-121.06198
608,1134.7617
609,-2287.8071
610,469.32938
611,-422.95016
612,473.61624
613,876.253
614,-2552.0093
615,-1066.9761
616,-497.99997
617,-431.415
618,1238.128
619,3620.5933
620,2233.9536
621,-1040.2832
622,-71.87497
623,-105.80612
624,2058.857
625,913.19244
626,-29.391083
627,-343.218
628,121.90967
629,-1158.8989
630,-769.5972
631,-2284.2568
632,1067.4365
633,1452.2036
634,-358.25827
635,171.31277
636,-1558.8745
637,-119.76071
638,330.21915
639,966.3531
640,2612.2412
641,1725.4016
642,-357.09027
643,201.04398
644,2105.0432
645,301.9744
646,-2697.9578
647,1161.6154
648,862.44635
649,-628.4853
650,1894.9836
651,814.21704
652,646.6446
653,-955.10443
654,43.06778
655,-963.3261
656,-1258.6973
657,-1165.0591
658,-442.0817
659,960.1949
660,-5231.7676
661,-1001.63165
662,-717.37177
663,68.12503
664,-761.7277
665,3160.2942
666,-562.55133
667,-534.8527
668,-1740.4153
669,-201.2695
670,-150.88376
671,-1359.765
672,43.52835
673,-553.9045
674,123.493805
675,2151.0786
676,41.819122
677,1287.8661
678,5917.621
679,-583.26154
680,-645.23517
681,2331.3154
682,-870.51996
683,2605.0186
684,-756.66644
685,-422.77487
686,-296.88425
687,-2448.2097
688,256.40933
689,5282.5195
690,-951.2868
691,4114.3
692,-31.48993
693,-138.10092
694,1537.562
695,-363.99448
696,-504.19235
697,782.8897
698,-124.85678
699,-677.5966
700,-322.06833
701,485.5508
702,4473.8
703,-698.78656
704,-990.45526
705,309.60782
706,-3780.3152
707,484.24356
708,438.42264
709,136.88919
710,1851.043
711,-1790.9352
712,-392.56357
713,-343.014
714,482.32205
715,-4289.408
716,66.14957
717,4827.0557
718,3608.835
719,-184.0527
720,14167.289
721,-1901.4011
722,315.64926
723,-1206.0625
724,3384.7476
725,-1158.0
726,-187.34274
727,1549.0972
728,1152.34
729,-363.36374
730,761.06305
731,-2557.0166
732,-4973.475
733,160.4158
734,3058.1135
735,-455.78366
736,-18.884735
737,-2231.045
738,6288.8647
739,1120.8007
740,-1486.3115
741,-138.3182
742,-385.1611
743,-812.6894
744,-1014.44525
745,675.31586
746,164.22256
747,271760.44
748,-674.85406
749,-154.23618
750,-471.77805
751,1565.1606
752,-2981.9307
753,-1571.2358
754,-1320.3672
755,150.08597
756,1455.3604
757,1853.5242
758,3316.9014
759,1678.6553
760,-377.1904
761,100.00882
762,2682.8535
763,1622.1735
764,1249.123
765,2139.4133
766,-1557.4424
767,-547.1597
768,-5988.6494
769,637.3613
770,214.9667
771,1460.7152
772,2805.0925
773,-527.10815
774,-793.65106
775,-5417.539
776,-439.2866
777,-2289.877
778,-665.4007
779,-2565.0522
780,377.4473
781,-783.6784
782,9.287507
783,705.3792
784,-1058.168
785,774.68243
786,-393.02756
787,-175.70383
788,1146.2864
789,1527.06
790,-445.29294
791,426.4971
792,-369.8879
793,-542.8886
794,-1058.271
795,-3275.2507
796,1208.5416
797,67.43997
798,-671.24945
799,-78.17587
800,920.81024
801,-2177.271
802,566.98364
803,1606.6128
804,-712.04144
805,618.5677
806,261.7195
807,-70.591156
808,1541.3076
809,384.91763
810,-1136.7922
811,191.17545
812,4.363923
813,1205.2351
814,151.59311
815,567.4665
816,829.8472
817,47.99002
818,2136.1145
819,-80.17209
820,-306.49167
821,-473.46286
822,-601.1247
823,2969.6226
824,2038.8494
825,207.42825
826,-785.16364
827,-1975.9978
828,598.63385
829,209.62967
830,1853.2021
831,-1444.1758
832,-438.95627
833,-687.6707
834,-595.9057
835,687.338
836,228.88675
837,-958.88654
838,68.36661
839,16.550323
840,1702.5675
841,-537.7475
842,4846.0146
843,-656.1029
844,1024.8069
845,2143.9556
846,209.44485
847,-1056.9883
848,4.927766
849,2041.053
850,101.04678
851,-1518.8813
852,-60.960907
853,-17.110687
854,-436.0212
855,-725.14813
856,-402.94662
857,-982.72906
858,776.49835
859,-3569.5032
860,1243.7483
861,-1534.718
862,-138.85922
863,14.308747
864,139.65042
865,859.6337
866,-353.51096
867,-168.7717
868,1463.1296
869,-1600.5774
870,-61.94449
871,915.8461
872,-1931.065
873,109.26346
874,503.2278
875,583.233
876,572.9052
877,-679.5634
878,-1009.9496
879,-873.01556
880,10784.02
881,-147.44382
882,3311.2944
883,616.94745
884,-5078.43
885,838.26874
886,-553.59906
887,-387.34348
888,-894.9462
889,-97.92917
890,1635.0325
891,304.6265
892,-1153.625
893,2648.4521
894,456.24088
895,-161.78561
896,-233.16043
897,723.58514
898,-529.9086
899,111.19693
900,-14407.364
901,540.1326
902,-888.28485
903,-112.19809
904,1676.4025
905,2050.5488
906,-619.79865
907,-69.002045
908,-34.870453
909,-1233.1199
910,-138.01303
911,-911.1606
912,2173.0146
913,-1139.4761
914,-713.5157
915,-719.62396
916,4421.7476
917,159.6365
918,655.30707
919,218.4996
920,-727.1215
921,-1292.5361
922,2349.552
923,-1445.9524
924,1115.2476
925,1102.4863
926,-714.80585
927,4290.6104
928,-17.61496
929,874.6942
930,-3149.1292
931,-318.3159
932,490.91165
933,2314.806
934,-1048.0879
935,-400.28195
936,-31.149384
937,-1766.835
938,4144.759
939,322.11844
940,-983.54254
941,379.80142
942,-3736.1802
943,2393.3787
944,-941.7983
945,-486.0306
946,-215.14767
947,-1030.4116
948,-116.07028
949,26.708527
950,-1819.2153
951,-248.9609
952,-1417.5728
953,-949.54
954,527.6065
955,1273.9558
956,6545.35
957,-130.93661
958,-762.04047
959,-331.99387
960,203.44437
961,285.2488
962,-148.95114
963,-244.82492
964,795.794
965,-4353.583
966,1412.6139
967,-623.52094
968,969.2747
969,-861.2412
970,-1.5904229
971,853.2919
972,123.97061
973,-1665.7017
974,-3348.162
975,-244.13449
976,-666.10004
977,-193.37204
978,-4889.488
979,-215.54489
980,-274.51926
981,2199.4695
982,-2456.9714
983,10739.439
984,1595.0835
985,-1715.3452
986,2681.9854
987,716.80206
988,738.65875
989,-367.87192
990,6160.384
991,-5993.4355
992,611.8504
993,-158.38766
994,-55.76779
995,776.1995
996,-67.174774
997,-3901.726
998,-367.52914
999,-1394.0894
1000,-648.2321
1001,764.044
1002,398.4346
1003,-1117.6367
1004,4222.0425
1005,-544.4428
1006,-1767.2793
1007,-356.35825
1008,-1960.6143
1009,3724.8665
1010,2616.6406
1011,-340.97812
1012,-448.72067
1013,-1527.8037
1014,2933.0422
1015,-218.48154
1016,2543.5486
1017,432.42288
1018,-1194.0266
1019,-3177.565
1020,-614.67426
1021,29765.37
1022,-22.649872
1023,-1793.7109
1024,-135.36826
1025,-875.0944
1026,-225.05222
1027,-900.0795
1028,-191.69064
1029,2602.2844
1030,-321.77133
1031,-536.6274
1032,-318.8707
1033,4766.536
1034,-314.0388
1035,-195.17819
1036,147.58707
1037,4748.178
1038,448.2742
1039,-180.69882
1040,-426.84958
1041,-13.06491
1042,343.9971
1043,4913.564
1044,-878.3272
1045,1682.9076
1046,-1312.3481
1047,-1995.315
1048,-1688.9175
1049,-271.80978
1050,1979.2095
1051,826.4737
1052,977.8819
1053,-253.17526
1054,-1133.856
1055,-2484.565
1056,707.12726
1057,-1457.2588
1058,-551.76874
1059,-166.1196
1060,1361.9216
1061,-947.72296
1062,391.78763
1063,-1180.2329
1064,-5598.668
1065,-642.6745
1066,1827.393
1067,-28.792328
1068,574.60944
1069,-887.1894
1070,1575.0785
1071,-4682.534
1072,4445.8037
1073,-821.46545
1074,2770.0413
1075,143.8677
1076,3048.962
1077,-552.43646
1078,761.55084
1079,-152.3569
1080,-1947.0107
1081,260.32547
1082,-2563.6035
1083,-3015.914
1084,-394.76804
1085,-1128.7583
1086,390.42752
1087,-1682.8696
1088,1699.0913
1089,-1034.7396
1090,-5572.878
1091,-107.563934
1092,965.98236
1093,1104.8604
1094,-188.07712
1095,-416.65402
1096,4930.204
1097,-11.321013
1098,-930.9628
1099,-2215.9827
1100,-3345.2454
1101,2211.641
1102,-540.11176
1103,-199.77048
1104,1496.74
1105,609.25336
1106,1375.5237
1107,-3198.8438
1108,3143.7808
1109,-962.00726
1110,-312.98337
1111,748.82263
1112,755.55646
1113,2209.351
1114,-426.17526
1115,-1606.0247
1116,940.0478
1117,-287.06345
1118,2254.7444
1119,13546.107
1120,-47.783783
1121,-725.04877
1122,-1771.4326
1123,-1298.0669
1124,2963.6326
1125,3147.8887
1126,-2187.1348
1127,798.03253
1128,101.053986
1129,423.00223
1130,396.0084
1131,2054.1316
1132,-20.606537
1133,2251.4543
1134,-48.45102
1135,-2428.3306
1136,-1222.4883
1137,-970.1165
1138,-1.0798028
1139,-4606.5615
1140,-656.98065
1141,472.62845
1142,-946.69916
1143,-231.88657
1144,-247.19626
1145,383.21646
1146,-458.13937
1147,-967.55865
1148,12.707673
1149,3787.7852
1150,-864.89154
1151,625.4901
1152,-107.38336
1153,3936.199
1154,163.11923
1155,408.0723
1156,-419.80954
1157,12510.026
1158,-841.26605
1159,-147.31393
1160,1932.0481
1161,198.92899
1162,-285.3232
1163,-760.6977
1164,-589.6337
1165,-346.3618
1166,534.3895
1167,400.56863
1168,-1337.8738
1169,-2290.269
1170,-269.7148
1171,257.44595
1172,-990.1025
1173,689.4942
1174,-1289.9255
1175,601.64655
1176,3201.3096
1177,89.21292
1178,-792.2985
1179,681.6352
1180,220.03848
1181,7118.0146
1182,920.52106
1183,350.65335
1184,411.98343
1185,-460.3635
1186,323.98978
1187,-1206.9817
1188,1843.0217
1189,-3529.1157
1190,113.87271
1191,-43.319794
1192,73.54031
1193,-2205.6582
1194,1388.5562
1195,-890.5219
1196,304.29886
1197,513.2496
1198,80.25464
1199,442.0192
1200,42.774384
1201,-1408.7915
1202,3558.9941
1203,959.0047
1204,420.89163
1205,569.2784
1206,469.74417
1207,1834.3182
1208,1041.1675
1209,-1169.9908
1210,864.73016
1211,1336.2526
1212,-73.07907
1213,2639.2808
1214,306.49472
1215,5062.2456
1216,-457.3701
1217,-969.7856
1218,-331.64835
1219,490.62625
1220,657.044
1221,318.46176
1222,-562.23334
1223,-1032.9832
1224,4099.478
1225,1153.0278
1226,1235.1488
1227,-7.11032
1228,-1527.1655
1229,835.8665
1230,64.058624
1231,2818.7822
1232,-205.71188
1233,-2539.641
1234,-1452.6707
1235,-9.914031
1236,-1511.1499
1237,764.42505
1238,1769.6432
1239,-664.69525
1240,-1391.4849
1241,3467.7698
1242,1022.17145
1243,2597.3389
1244,1213.146
1245,-1384.0908
1246,-1134.8259
1247,-273.2639
1248,-797.55096
1249,2464.5957
1250,2372.0605
1251,1761.7395
1252,1923.0494
1253,165.53714
1254,-526.37775
1255,-785.8874
1256,347.49222
1257,137.92654
1258,-896.8697
1259,-281.3845
1260,-1813.3594
1261,-243.69186
1262,1673.5256
1263,475.71683
1264,-1684.4788
1265,552.3477
1266,-1497.1226
1267,-973.38763
1268,1761.4186
1269,708.9925
1270,1899.6255
1271,-161.39584
1272,151.3872
1273,-806.52997
1274,-386.50656
1275,757.8298
1276,456.63675
1277,272.11417
1278,4072.7803
1279,-1091.917
1280,582.73663
1281,-714.0262
1282,6211.5996
1283,-539.16974
1284,-564.7519
1285,-2134.0225
1286,47.110565
1287,2375.6626
1288,1050.3447
1289,-303.1118
1290,2313.9883
1291,-1539.3911
1292,-1311.2456
1293,396.70914
1294,2406.2266
1295,-2023.3677
1296,-400.02048
1297,-161.00418
1298,373.19925
1299,-4157.543
1300,-603.09186
1301,1074.3029
1302,246.82425
1303,5939.0005
1304,783.79425
1305,4025.8252
1306,-515.9577
1307,-441.34055
1308,54.969757
1309,-592.04486
1310,-1235.5698
1311,-3727.2573
1312,-265.7606
1313,1131.3927
1314,542.492
1315,5872.3486
1316,-1385.1035
1317,2999.6658
1318,-1209.977
1319,-14.061004
1320,-61.353973
1321,-545.3835
1322,-1314.8354
1323,-1168.6665
1324,1261.917
1325,-424.68088
1326,-942.3798
1327,-1035.6245
1328,266.3309
1329,62.322906
1330,-106.905
1331,1117.3845
1332,-1967.4668
1333,-412.322
1334,-570.75775
1335,-6022.856
1336,-1366.8328
1337,-163.24051
1338,-869.3725
1339,1206.2615
1340,-602.55316
1341,-602.7216
1342,-234.25607
1343,-6946.1255
1344,-693.143
1345,-292.09763
1346,285.6415
1347,3572.2256
1348,7526.677
1349,3084.123
1350,-295.36276
1351,-12.471648
1352,4415.1167
1353,-790.74774
1354,-340.7053
1355,4113.101
1356,-929.82806
1357,-1324.1594
1358,1277.5015
1359,704.253
1360,2054.486
1361,830.5361
1362,-369.85446
1363,-53.57956
1364,-980.5048
1365,429.56644
1366,876.4379
1367,-465.207
1368,653.0548
1369,413.86465
1370,640.6486
1371,-207.3591
1372,-1394.4233
1373,-362.30905
1374,52.02005
1375,-642.2917
1376,-4.8298025
1377,-1618.8447
1378,-428.30832
1379,1101.7363
1380,547.18317
1381,-1057.018
1382,-917.8442
1383,-31.521759
1384,476.94827
1385,171.0939
1386,3083.1587
1387,-319.34323
1388,-3054.6582
1389,4585.5186
1390,-313.2009
1391,-1355.0168
1392,2288.154
1393,2862.805
1394,-1231.5398
1395,-3411.2388
1396,-505.57053
1397,-202.05856
1398,-1346.8104
1399,1120.6193
1400,-204.98972
1401,2831.4087
1402,291.69022
1403,108.008575
1404,2383.7078
1405,-71.06882
1406,546.5246
1407,-351.51486
1408,-944.064
1409,2937.2073
1410,-3890.202
1411,-103.14011
1412,306.3674
1413,-1938.521
1414,-296.16055
1415,-288.28696
1416,-112.5737
1417,3239.8555
1418,3801.5215
1419,-121.37518
1420,-1212.5508
1421,7083.426
1422,-0.5876763
1423,10505.057
1424,780.971
1425,474.32437
1426,59.33206
1427,1991.4855
1428,6667.1914
1429,1991.5754
1430,-615.6817
1431,167.71317
1432,-616.9677
1433,-497.0439
1434,156.34964
1435,112.272
1436,54.44388
1437,-267.35202
1438,-648.65594
1439,2364.9424
1440,-560.7663
1441,2186.6948
1442,-984.27484
1443,-829.91986
1444,-913.21136
1445,3589.8457
1446,2411.245
1447,-414.41708
1448,-2704.8872
1449,190.34122
1450,-581.49774
1451,679.498
1452,-5526.6157
1453,-660.3818
1454,-12.708953
1455,714.8094
1456,-96.844086
1457,-258.74338
1458,24.067413
1459,2576.8552
1460,2362.8113
1461,-563.5429
1462,1548.6045
1463,-1887.9336
1464,705.6287
1465,1261.57
1466,4447.604
1467,2829.1353
1468,307.7836
1469,-450.79514
1470,-322.81955
1471,-1457.7168
1472,1595.7662
1473,50.34604
1474,-405.8724
1475,506.0424
1476,1209.8745
1477,1142.3948
1478,2264.2722
1479,1373.9326
1480,-148.97708
1481,-155.3342
1482,-872.2122
1483,2136.973
1484,-63.69223
1485,-241.60239
1486,-185.17697
1487,3035.1343
1488,-108.344574
1489,-372.08102
1490,106.896515
1491,1470.4221
1492,144.05545
1493,4642.425
1494,-32.72934
1495,-1428.5984
1496,131.91946
1497,2279.9897
1498,-373.4836
1499,8292.518
1500,-97.55856
1501,-1022.75775
1502,1023.1021
1503,2042.2236
1504,1331.487
1505,-1507.4521
1506,487.95535
1507,-419.1296
1508,3383.626
1509,-356.08896
1510,2228.087
1511,229.34348
1512,437.93167
1513,2868.2832
1514,-15.095183
1515,-311.65842
1516,1148.97
1517,390.12057
1518,-448.42136
1519,1023.066
1520,254.27937
1521,1269.6279
1522,-992.40424
1523,-390.3737
1524,1350.5879
1525,2989.9526
1526,551.2541
1527,-6272.85
1528,-580.35516
1529,-223.50546
1530,2585.925
1531,1071.3413
1532,-250.78098
1533,1196.4592
1534,-454.80173
1535,5361.8145
1536,1775.8535
1537,-1798.8188
1538,219.15543
1539,-1040.0574
1540,915.6409
1541,-169.2197
1542,4412.2754
1543,1862.1082
1544,2570.1963
1545,-456.72995
1546,49.794952
1547,3195.5205
1548,862.32965
1549,-1617.8042
1550,-128.46628
1551,449.98813
1552,2100.456
1553,3145.762
1554,-491.09714
1555,105.69144
1556,-434.98483
1557,-1189.9883
1558,-748.4683
1559,-1316.7795
1560,3485.0972
1561,-668.50165
1562,-588.1923
1563,323.8671
1564,14.493684
1565,19.775177
1566,-301.6738
1567,-1713.542
1568,-1810.9081
1569,-357.90036
1570,-1842.8757
1571,-282.00742
1572,-1190.8633
1573,-23.68222
1574,-1166.1624
1575,61.938263
1576,-2611.912
1577,-398.28452
1578,3172.7607
1579,9371.53
1580,-710.92365
1581,-803.68744
1582,26.721222
1583,501.3008
1584,162.54605
1585,-442.18124
1586,2137.871
1587,1026.8102
1588,-1214.6108
1589,1905.7816
1590,-307.26364
1591,-16.811249
1592,-1823.3701
1593,-1124.3857
1594,-6430.132
1595,3463.6804
1596,-374.21945
1597,1106.4275
1598,1437.5796
1599,-663.4892
1600,-870.12494
1601,-1043.1849
1602,4428.562
1603,-641.44055
1604,2659.795
1605,-364.45035
1606,-6279.5864
1607,84.69632
1608,-804.7418
1609,1935.9822
1610,390.16605
1611,-578.4672
1612,-2441.188
1613,-908.05566
1614,-1130.002
1615,-231.18747
1616,139.61649
1617,-235.34933
1618,-243.25851
1619,555.26984
1620,143.39236
1621,-1590.5331
1622,583.9489
1623,-133.83884
1624,5182.685
1625,-504.0742
1626,1389.6101
1627,-141.2485
1628,48.66031
1629,2284.0952
1630,707.14154
1631,-2013.969
1632,387.65714
1633,-1682.8083
1634,1728.4622
1635,794.2474
1636,404.3649
1637,3205.73
1638,84.03812
1639,19.226105
1640,1957.0127
1641,-951.7802
1642,1061.1382
1643,510.10208
1644,-143.0693
1645,-998.0783
1646,-87.89255
1647,883.6534
1648,773.9997
1649,-155.68417
1650,-566.0855
1651,435.69485
1652,-1261.3789
1653,-247.78293
1654,-412.00784
1655,842.4532
1656,1385.5374
1657,-1175.8884
1658,5686.321
1659,-1329.185
1660,-42.523407
1661,-931.51874
1662,2784.605
1663,527.18896
1664,-362.2236
1665,-631.4339
1666,115.28665
1667,116.08688
1668,-533.7786
1669,-301.40573
1670,1391.081
1671,-133.00229
1672,-2524.0762
1673,3931.741
1674,-1516.6055
1675,-663.9755
1676,-193.16745
1677,-406.65646
1678,-446.25314
1679,5711.915
1680,1590.4248
1681,2186.483
1682,707.00543
1683,-97.28183
1684,-2186.2476
1685,1500.2798
1686,3080.0674
1687,-660.92316
1688,-2758.0786
1689,1190.7163
1690,410.3008
1691,1134.8135
1692,-1317.8416
1693,1016.6812
1694,-582.7458
1695,-4060.6182
1696,908.4362
1697,-355.08456
1698,621.563
